Color,Breed_Group,Sex upon Intake,Intake Type,Location_Group,Age_Days,Name,Animal ID
Brown,Chihuahua,Spayed Female,Stray,Austin Area,5110,Rosie,A568668
Gray,Mixed,Unknown,Stray,Austin Area,3,,A773272
Black,Mixed,Intact Male,Owner Surrender,Manor,60,Jax,A808040
White,Mixed,Intact Male,Stray,Austin Area,365,Buster G,A671114
Brown,Terrier,Intact Male,Stray,Austin Area,730,,A795742
White,Mixed,Neutered Male,Stray,Pflugerville,300,Pumpkin,A758896
Black,Mixed,Spayed Female,Stray,Other,2920,Candy,A635903
Brown,Domestic,Intact Male,Stray,Austin Area,60,Twix,A798569
White,Mixed,Neutered Male,Stray,Austin Area,730,*Sam,A787302
White,Mixed,Intact Male,Stray,Other,365,*Nexus,A714106
White,Mixed,Neutered Male,Owner Surrender,Austin Area,300,*Tanner,A694904
White,Mixed,Intact Male,Stray,Austin Area,365,Freckles,A719632
White,Mixed,Spayed Female,Owner Surrender,Other,730,Reyna,A721262
Brown,Mixed,Neutered Male,Stray,Other,365,Landan,A728229
Orange,Other,Intact Male,Stray,Austin Area,90,,A798421
Black,Mixed,Spayed Female,Stray,Austin Area,2190,Matie,A736828
White,Mixed,Neutered Male,Owner Surrender,Manor,365,Murphy,A731502
Black,Terrier,Spayed Female,Stray,Austin Area,1095,Sundae,A703414
Gray,Other,Unknown,Wildlife,Austin Area,5,,A701868
Black,Mixed,Intact Female,Stray,Austin Area,30,,A736450
Black,Mixed,Neutered Male,Stray,Austin Area,730,*Moose,A721862
Gray,Mixed,Neutered Male,Stray,Austin Area,3285,*Blake,A776816
White,Other,Intact Male,Stray,Austin Area,30,Sammi,A753601
White,Mixed,Spayed Female,Owner Surrender,Austin Area,2190,Clara,A759957
Yellow,Mixed,Intact Female,Stray,Austin Area,365,Pretzel,A717067
Black,Mixed,Spayed Female,Owner Surrender,Austin Area,2555,Zorra,A697303
